GradYear,Student Ref,Admission Year,Program,Semester/Year,Academic Year,Student Status,Gender,Nationality,Application Category,GPA,CGPA
2019,7078503955328196200,2015-2016,B.Sc - Management Information Systems,Semester 2,2015-2016,Graduated,Female,Country0, ,2.67,3.12
2016,4911601819461842524,2012-2013,B.Sc - Management Information Systems,Semester 1,2015-2016,Active,Male,Country0, ,3.75,3.50
2016,4911601819461842524,2012-2013,B.Sc - Management Information Systems,Semester 2,2015-2016,Active,Male,Country0, ,3.50,3.50
2017,2922337510459504036,2013-2014,B.Sc - Computer Science,Semester 1,2015-2016,Active,Male,Country0, ,2.63,2.69
2017,2922337510459504036,2013-2014,B.Sc - Computer Science,Semester 2,2015-2016,Active,Male,Country0, ,2.50,2.73
2019,5577802220511258490,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Male,Country0, ,3.00,3.00
2019,5577802220511258490,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Male,Country0, ,3.06,3.03
2016,4146553543474710248,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.75,3.75
2016,4146553543474710248,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.50,3.72
2019,4535514982540582118,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0,Full Fee Paying,2.63,2.63
2019,4535514982540582118,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0,Full Fee Paying,2.89,2.76
2019,4454556320914875192,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0, ,3.13,3.13
2019,4454556320914875192,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0, ,2.83,2.97
2019,4454556320914875192,2015-2016,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Female,Country0, ,3.00,2.97
2017,3698562035308055117,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,4.00,3.94
2017,3698562035308055117,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.90,3.94
2019,7062386683173152551,2015-2016,B.Sc - Computer Engineering,Semester 1,2015-2016,Graduated,Male,Country0, ,3.13,3.13
2019,7062386683173152551,2015-2016,B.Sc - Computer Engineering,Semester 2,2015-2016,Graduated,Male,Country0, ,2.94,3.03
2019,7062386683173152551,2015-2016,B.Sc - Computer Engineering,Semester 3,2015-2016,Graduated,Male,Country0, ,4.00,3.18
2016,4470763007847037194,2012-2013,B.Sc - Management Information Systems,Semester 1,2015-2016,Active,Male,Country0, ,2.13,2.38
2016,4470763007847037194,2012-2013,B.Sc - Management Information Systems,Semester 2,2015-2016,Active,Male,Country0, ,2.38,2.38
2017,4378914821885731831,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.00,2.70
2017,4378914821885731831,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,2.88,2.73
2017,2665528195730465351,2013-2014,B.Sc - Management Information Systems,Semester 1,2015-2016,Active,Male,Country0, ,2.75,2.28
2017,2665528195730465351,2013-2014,B.Sc - Management Information Systems,Semester 2,2015-2016,Active,Male,Country0, ,2.38,2.39
2017,2665528195730465351,2013-2014,B.Sc - Management Information Systems,Semester 3,2015-2016,Active,Male,Country0, ,2.50,2.39
2018,4104971989582324087,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Male,Country2, ,2.67,2.58
2018,4104971989582324087,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Male,Country2, ,1.89,2.40
2018,5189720917333731892,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0, ,2.86,2.94
2018,5189720917333731892,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0, ,2.78,2.90
2017,6449945665712862691,2013-2014,B.Sc - Management Information Systems,Semester 1,2015-2016,Active,Male,Country0, ,3.63,3.35
2017,6449945665712862691,2013-2014,B.Sc - Management Information Systems,Semester 2,2015-2016,Active,Male,Country0, ,2.88,3.27
2017,8914645895707750463,2013-2014,B.Sc - Computer Science,Semester 1,2015-2016,Active,Male,Country0, ,3.75,3.43
2017,8914645895707750463,2013-2014,B.Sc - Computer Science,Semester 2,2015-2016,Active,Male,Country0, ,3.38,3.42
2018,99481562835088095,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country2, ,3.39,3.40
